epoch,val_accuracy
0,10.166666666666666
1,10.433333333333334
2,10.0
3,14.75
4,45.06666666666667
5,67.68333333333334
6,73.11666666666666
7,76.36666666666666
8,79.53333333333333
9,81.88333333333334
10,82.88333333333334
11,81.6
12,85.03333333333333
13,84.91666666666667
14,85.41666666666667
15,84.91666666666667
16,85.88333333333334
17,86.11666666666666
18,86.8
19,87.28333333333333
